Name,Overall,Pace,Shooting,Passing,Dribbling,Defense,Physical,Price
Wes Noble,76,76,38,56,57,76,75,$12
Ramiro Fernandez ,78,80,74,77,78,72,77,$25.50
Bruno Vidal,77,84,62,76,77,66,76,$26
Bastian Kremer,78,79,71,76,79,72,81,$25
Sverre Nypan,81,84,77,73,86,67,61,$46.50
Felipe Correa,73,77,71,73,77,59,76,$8
Louis Leroux,80,72,70,75,80,74,72,$32
Mathis Amougou,81,74,75,75,83,77,76,$37.50
Teddy Simon,81,93,79,73,83,41,65,$44.50
Charles Adams,79,88,80,66,79,38,75,$30.50
Arthur Buchanan,78,82,50,65,70,75,77,$21.50
Yaakoub Alzouma,77,79,82,74,73,35,75,$14
Christian Jensen,77,85,78,60,75,36,75,$17
Alexandre Sissoko,77,82,77,62,73,36,71,$14.50
Michael Benoit,73,74,71,58,73,36,70,$5
Patrick Ouotro,73,81,73,58,72,30,67,$5
Junior Ndiaye,73,76,74,61,72,28,68,$5
Agustin Ruberto,80,85,80,68,75,46,75,$32.50
Ibrahim Mbaye,79,83,72,72,81,36,52,$30.50
Artem Stepanov,77,83,79,59,73,36,78,$20
Don-Angelo Konadu,77,85,77,60,71,36,72,$19
Adam Aznou,77,83,60,70,83,71,58,$17.50
Henrik Mathiesen,77,85,78,61,76,39,78,$19.50
Francesco Camarda,79,77,83,61,81,35,63,$47
Jules Gaudin,72,67,58,66,67,69,66,$2.70
Lamine Sy,73,81,44,58,69,69,58,$4.10
Thibault Delphis,71,75,43,57,59,68,71,$2.50
Vincent Roth,74,69,52,67,64,72,77,$5
Stije Resink,76,71,63,75,72,68,79,$11
Cheick Oumar Konate,72,67,34,59,66,70,63,$2.80
Ange-Loic N'Gatta,69,66,42,57,67,67,70,$2.10
Thierno Balde,73,77,54,67,71,68,64,$3.80
Hamidou Makalou,74,65,61,66,74,69,68,$7
Rabby Nzingoula,76,72,55,62,70,76,75,$10.50
Tom Pouilly,74,69,52,68,68,71,67,$4.90
Ali Turap Bulbul,73,82,54,66,74,68,70,$5.50
