Name,Overall,Pace,Shooting,Passing,Dribbling,Defense,Physical,Price
Wes Noble,76,76,38,56,57,76,75,$12
Ramiro Fernandez ,78,80,74,77,78,72,77,$25.50
Bruno Vidal,77,84,62,76,77,66,76,$26
Bastian Kremer,78,79,71,76,79,72,81,$25
Sverre Nypan,81,84,77,73,86,67,61,$46.50
Felipe Correa,73,77,71,73,77,59,76,$8
Louis Leroux,80,72,70,75,80,74,72,$32
Mathis Amougou,81,74,75,75,83,77,76,$37.50
Teddy Simon,81,93,79,73,83,41,65,$44.50
Charles Adams,79,88,80,66,79,38,75,$30.50
Arthur Buchanan,78,82,50,65,70,75,77,$21.50
Christian Jensen,77,85,78,60,75,36,75,$17
Alexandre Sissoko,77,82,77,62,73,36,71,$14.50
Michael Benoit,73,74,71,58,73,36,70,$5
Patrick Ouotro,73,81,73,58,72,30,67,$5
Junior Ndiaye,73,76,74,61,72,28,68,$5
Agustin Ruberto,80,85,80,68,75,46,75,$32.50
Ibrahim Mbaye,79,83,72,72,81,36,52,$30.50
Artem Stepanov,77,83,79,59,73,36,78,$20
Don-Angelo Konadu,77,85,77,60,71,36,72,$19
Adam Aznou,77,83,60,70,83,71,58,$17.50
Henrik Mathiesen,77,85,78,61,76,39,78,$19.50
Francesco Camarda,79,77,83,61,81,35,63,$47
Jules Gaudin,72,67,58,66,67,69,66,$2.70
Lamine Sy,73,81,44,58,69,69,58,$4.10
Thibault Delphis,71,75,43,57,59,68,71,$2.50
Vincent Roth,74,69,52,67,64,72,77,$5
Stije Resink,76,71,63,75,72,68,79,$11
Cheick Oumar Konate,72,67,34,59,66,70,63,$2.80
Ange-Loic N'Gatta,69,66,42,57,67,67,70,$2.10
Thierno Balde,73,77,54,67,71,68,64,$3.80
Hamidou Makalou,74,65,61,66,74,69,68,$7
Rabby Nzingoula,76,72,55,62,70,76,75,$10.50
Tom Pouilly,74,69,52,68,68,71,67,$4.90
Ali Turap Bulbul,73,82,54,66,74,68,70,$5.50
William Mikelbrencis,77,85,44,68,72,73,66,$16
Leandro Morgalla,76,83,40,60,63,74,76,$10
Austin Faulkner,72,77,47,64,68,67,69,$3.40
Tobias Rubio,78,79,51,67,75,75,78,$19
Findlay Curtis,75,81,65,71,75,44,52,$15
Frank Jensen,78,75,54,74,73,71,81,$21
Loic Thiery,75,82,76,56,74,34,73,$9
Caleb Wiley,78,85,57,72,79,71,74,$21
Taylan Bulut,77,85,56,70,68,71,74,$16.50
Damion Downs,80,77,82,60,72,33,74,$28
Nathan Lowe,77,71,77,58,72,38,78,$15.50
Bobby Wales,75,83,77,58,72,28,67,$9.50
Dom Ballard,72,77,72,55,70,31,62,$3.50
Nikolaus Wurmbrand,78,88,78,69,78,36,74,$24
Douglas Bain,76,84,75,60,72,35,74,$13.50
Jeronimo Domina,82,86,84,69,81,52,70,$47
Luan Lacerda,75,72,58,71,72,68,81,$12.50
Kobe Corbanie,78,82,61,71,77,72,71,$22
Lucas Jetten,74,90,44,69,78,67,62,$10.50
Mohamed Kader Meite,78,78,79,62,74,32,75,$26
Kento Shiogai,78,86,78,65,76,30,69,$23
Calvin Ramsay,73,78,52,67,69,69,68,$4.10
Zak Sturge,70,76,46,63,67,68,72,$2.60
Jack Currie,73,75,44,65,71,68,61,$3.50
Tyrick Mitchell,80,76,42,70,74,78,70,$22
Samuel Dahl,82,86,57,75,80,74,72,$35.50
Devyne Rensch,80,79,60,71,76,78,69,$24.50
Nathan Patterson,76,74,49,67,73,75,69,$8.50
James Garner,81,61,67,80,75,77,76,$26.50
Oliver Skipp,76,61,48,68,70,73,68,$8
Boubakary Soumare,78,74,58,75,75,72,80,$14
Shurandy Sambo,75,78,49,66,73,71,73,$6.50
Mika Godts,83,90,75,77,85,43,68,$55.50
Wilson Odobert,83,90,76,77,84,33,54,$49.50
Shea Charles,82,69,78,78,79,79,79,$39.50
Mario Stroeykens,84,80,77,80,84,54,77,$64
Danny Ashworth,73,82,42,58,70,69,67,$3.90
Tristan Crama,73,68,46,62,67,72,77,$3.50
